payment_id,payment_date,amount,currency,country,payment_type,channel,counterparty_risk_score,historical_failure_count,settlement_window,is_failed,payment_year,payment_month,payment_day,day_of_week,hour_of_day,is_weekend,amount_log,is_high_value,amount_bucket,risk_band,has_prior_failures,prior_failure_band,settlement_speed_days,is_large_international,risk_adjusted_amount,amount_z_score,is_extreme_amount,amount_percentile_rank,is_top_1pct_amount,risk_adjusted_amount_z_score,is_extreme_risk_adjusted_amount,risk_score_percentile_rank,is_top_1pct_risk_score,is_high_risk_large_payment,is_large_file_payment,is_high_risk_swift_payment,is_prior_failure_high_value,country_frequency,currency_frequency,is_rare_country,is_rare_currency,rule_anomaly_score,is_rule_based_anomaly,anomaly_reasons
P-E38E359F,2024-05-09 20:32:00,108668.47,GBP,CA,WIRE,BATCH,0.332,0,SAME_DAY,False,2024,5,9,3,20,False,11.596066168893996,False,HIGH,MEDIUM,False,NONE,0,False,36077.93204,-0.07060950286259368,False,0.6892,False,-0.0030199823663711036,False,0.639,False,False,False,False,False,0.135,0.1622,False,False,0,False,NONE
P-69695E31,2024-03-04 02:36:00,36511.18,JPY,DE,WIRE,BATCH,0.111,1,SAME_DAY,False,2024,3,4,0,2,False,10.505401182535715,False,MEDIUM,LOW,True,LOW,0,False,4052.74098,-0.37810470811230434,False,0.3412,False,-0.41932812233953354,False,0.1333,False,False,False,False,False,0.1448,0.1758,False,False,0,False,NONE
P-47289C89,2024-05-11 01:05:00,15045.1,EUR,JP,RTP,API,0.405,2,SAME_DAY,False,2024,5,11,5,1,True,9.618874100382808,False,MEDIUM,MEDIUM,True,LOW,0,False,6093.2655,-0.469581489952458,False,0.1314,False,-0.3928025360940277,False,0.7711,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE
P-48293550,2024-05-03 12:40:00,23527.88,AUD,DE,WIRE,ONLINE,0.091,3,NEXT_DAY,False,2024,5,3,4,12,False,10.06598388177852,False,MEDIUM,LOW,True,HIGH,1,False,2141.03708,-0.43343248578131827,False,0.224,False,-0.44417911833507273,False,0.0895,False,False,False,False,False,0.1448,0.1594,False,False,0,False,NONE
P-489B8768,2024-01-28 06:08:00,6608.42,CAD,AU,ACH,ONLINE,0.101,2,SAME_DAY,False,2024,1,28,6,6,True,8.796251183156203,False,LOW,LOW,True,LOW,0,False,667.45042,-0.5055340409452423,False,0.0354,False,-0.4633348548415161,False,0.1113,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE
P-C6226E92,2024-02-11 12:50:00,9800.77,AUD,CA,SWIFT,API,0.391,2,T_PLUS_2,False,2024,2,11,6,12,True,9.190318260595133,False,LOW,MEDIUM,True,LOW,2,False,3832.10107,-0.4919299779534239,False,0.07,False,-0.42219630789895307,False,0.7471,False,False,False,False,False,0.135,0.1594,False,False,0,False,NONE
P-4710C9FD,2024-05-13 11:43:00,27607.87,USD,JP,WIRE,API,0.21,2,SAME_DAY,False,2024,5,13,0,11,False,10.22589237688637,False,MEDIUM,LOW,True,LOW,0,False,5797.6527,-0.4160457828928539,False,0.2632,False,-0.3966453239384372,False,0.362,False,False,False,False,False,0.1492,0.1624,False,False,0,False,NONE
P-0B69842C,2024-06-13 00:50:00,190074.15,EUR,AU,SWIFT,BATCH,0.15,0,SAME_DAY,False,2024,6,13,3,0,False,12.155174799258498,False,HIGH,LOW,False,NONE,0,False,28511.1225,0.276297320828987,False,0.833,False,-0.101383935893666,False,0.2232,False,False,False,False,False,0.1456,0.1634,False,False,0,False,NONE
P-768E3E8D,2024-04-10 16:55:00,42178.12,EUR,JP,ACH,ONLINE,0.02,0,SAME_DAY,False,2024,4,10,2,16,False,10.6496805908469,False,MEDIUM,LOW,False,NONE,0,False,843.5624,-0.35395528567088785,False,0.3812,False,-0.46104550547640444,False,0.0059,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE
P-F127092A,2024-05-02 16:37:00,67698.36,EUR,JP,ACH,BATCH,0.203,0,T_PLUS_2,False,2024,5,2,3,16,False,11.122832005384485,False,MEDIUM,LOW,False,NONE,2,False,13742.76708,-0.2452018743825499,False,0.5364,False,-0.29336363599425214,False,0.3462,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE
P-ADE4F9D1,2024-05-26 19:31:00,14729.19,CAD,JP,RTP,BATCH,0.173,1,NEXT_DAY,False,2024,5,26,6,19,True,9.59765440821938,False,MEDIUM,LOW,True,LOW,1,False,2548.14987,-0.4709277269063464,False,0.1284,False,-0.43888689796871644,False,0.2743,False,False,False,False,False,0.1492,0.1768,False,False,0,False,NONE
P-951CA5B1,2024-02-06 22:08:00,100069.02,USD,GB,ACH,ONLINE,0.543,1,T_PLUS_2,False,2024,2,6,1,22,False,11.51362541994458,False,HIGH,MEDIUM,True,LOW,2,False,54337.477860000006,-0.1072556912488901,False,0.6642,False,0.23434308419073863,False,0.9225,False,False,False,False,False,0.1428,0.1624,False,False,0,False,NONE
P-B0137477,2024-06-17 03:32:00,190569.59,GBP,JP,SWIFT,FILE,0.107,0,NEXT_DAY,False,2024,6,17,0,3,False,12.15777795609286,False,HIGH,LOW,False,NONE,1,False,20390.94613,0.27840861719958127,False,0.834,False,-0.2069413239671761,False,0.125,False,False,False,False,False,0.1492,0.1622,False,False,0,False,NONE
P-6E338B76,2024-04-18 18:53:00,25406.96,JPY,US,WIRE,ONLINE,0.302,1,SAME_DAY,False,2024,4,18,3,18,False,10.142817789738318,False,MEDIUM,MEDIUM,True,LOW,0,False,7672.901919999999,-0.42542486672743446,False,0.2416,False,-0.37226821676359795,False,0.5795,False,False,False,False,False,0.1398,0.1758,False,False,0,False,NONE
P-7427C3A3,2024-02-15 20:05:00,50560.29,CAD,IN,WIRE,API,0.184,0,T_PLUS_2,False,2024,2,15,3,20,False,10.830941542735763,False,MEDIUM,LOW,False,NONE,2,False,9303.09336,-0.3182350267117727,False,0.4408,False,-0.3510767127093339,False,0.3023,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE
P-131F12C9,2024-02-23 02:39:00,57674.81,GBP,JP,ACH,FILE,0.149,0,SAME_DAY,False,2024,2,23,4,2,False,10.9625931271566,False,MEDIUM,LOW,False,NONE,0,False,8593.54669,-0.28791680401170777,False,0.4856,False,-0.3603003908400414,False,0.2214,False,False,False,False,False,0.1492,0.1622,False,False,0,False,NONE
P-CDA2BAE5,2024-03-05 07:45:00,15104.32,GBP,DE,SWIFT,API,0.647,3,NEXT_DAY,False,2024,3,5,1,7,False,9.62280227863444,False,MEDIUM,HIGH,True,HIGH,1,False,9772.49504,-0.4693291264552301,False,0.1326,False,-0.34497477439661745,False,0.9762,False,False,False,False,False,0.1448,0.1622,False,False,0,False,NONE
P-D9B63832,2024-04-10 00:07:00,19430.71,AUD,JP,SWIFT,ONLINE,0.621,3,NEXT_DAY,True,2024,4,10,2,0,False,9.874661546733677,False,MEDIUM,HIGH,True,HIGH,1,False,12066.47091,-0.4508924005050137,False,0.1832,False,-0.31515447369040783,False,0.9666,False,False,False,False,False,0.1492,0.1594,False,False,0,False,NONE
P-FED7F398,2024-04-01 22:25:00,25377.94,CAD,AU,ACH,ONLINE,0.246,1,NEXT_DAY,False,2024,4,1,0,22,False,10.141674975226763,False,MEDIUM,LOW,True,LOW,1,False,6242.973239999999,-0.42554853421628197,False,0.2412,False,-0.3908564259002675,False,0.4541,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE
P-EF58F755,2024-03-09 21:28:00,161865.2,CAD,DE,RTP,FILE,0.121,2,NEXT_DAY,False,2024,3,9,5,21,True,11.994525347023858,False,HIGH,LOW,True,LOW,1,False,19585.6892,0.15608608686872025,False,0.7958,False,-0.21740917766711898,False,0.156,False,False,False,False,False,0.1448,0.1768,False,False,0,False,NONE
P-23C8AB1B,2024-04-09 01:51:00,9669.73,GBP,CA,ACH,BATCH,0.15,1,SAME_DAY,False,2024,4,9,1,1,False,9.176859076807949,False,LOW,LOW,True,LOW,0,False,1450.4595,-0.4924883993089921,False,0.0682,False,-0.453156209753461,False,0.2232,False,False,False,False,False,0.135,0.1622,False,False,0,False,NONE
P-68828DE2,2024-06-27 10:36:00,122992.17,EUR,DE,RTP,API,0.269,3,NEXT_DAY,False,2024,6,27,3,10,False,11.719884104357508,False,HIGH,LOW,True,HIGH,1,False,33084.89373,-0.009569667920964373,False,0.7238,False,-0.041927672545956744,False,0.5081,False,False,False,False,False,0.1448,0.1634,False,False,0,False,NONE
P-A00EB3AD,2024-06-10 18:40:00,234314.83,EUR,GB,ACH,ONLINE,0.304,0,SAME_DAY,False,2024,6,10,0,18,False,12.364425185167091,False,HIGH,MEDIUM,False,NONE,0,False,71231.70831999999,0.4648270865253812,False,0.8722,False,0.45395787574353996,False,0.5844,False,False,False,False,False,0.1428,0.1634,False,False,0,False,NONE
P-95524EF4,2024-05-31 22:31:00,28360.73,JPY,DE,SWIFT,API,0.324,3,T_PLUS_2,False,2024,5,31,4,22,False,10.252795980195993,False,MEDIUM,MEDIUM,True,HIGH,2,False,9188.87652,-0.41283750220182047,False,0.2696,False,-0.35256146264025323,False,0.6254,False,False,False,False,False,0.1448,0.1758,False,False,0,False,NONE
P-DCC6DB5E,2024-01-28 13:30:00,46109.88,CAD,AU,SWIFT,ONLINE,0.493,1,T_PLUS_2,False,2024,1,28,6,13,True,10.738804209815862,False,MEDIUM,MEDIUM,True,LOW,2,False,22732.17084,-0.33720025858779473,False,0.4062,False,-0.17650681688013842,False,0.881,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE
P-C903D5F0,2024-05-21 04:34:00,187020.14,JPY,GB,WIRE,ONLINE,0.246,1,SAME_DAY,False,2024,5,21,1,4,False,12.138976937575608,False,HIGH,LOW,True,LOW,0,False,46006.95444,0.26328278783052406,False,0.8284,False,0.12605131152073132,False,0.4541,False,False,False,False,False,0.1428,0.1758,False,False,0,False,NONE
P-BD0FB84E,2024-04-18 00:21:00,41319.47,EUR,AU,ACH,FILE,0.36,2,NEXT_DAY,False,2024,4,18,3,0,False,10.629113297805864,False,MEDIUM,MEDIUM,True,LOW,1,False,14875.0092,-0.35761438592240313,False,0.3744,False,-0.2786451723294027,False,0.6936,False,False,False,False,False,0.1456,0.1634,False,False,0,False,NONE
P-3C8257C8,2024-05-05 19:27:00,32586.98,JPY,US,RTP,MOBILE,0.176,2,NEXT_DAY,False,2024,5,5,6,19,True,10.3916987877075,False,MEDIUM,LOW,True,LOW,1,False,5735.30848,-0.39482751857873,False,0.3088,False,-0.39745576114137693,False,0.2817,False,False,False,False,False,0.1398,0.1758,False,False,0,False,NONE
P-D3A3ECA8,2024-05-28 15:53:00,130231.61,USD,GB,WIRE,MOBILE,0.383,0,SAME_DAY,False,2024,5,28,1,15,False,11.77707743822602,False,HIGH,MEDIUM,False,NONE,0,False,49878.70663,0.021280896016414173,False,0.7388,False,0.1763817513809055,False,0.7354,False,False,False,False,False,0.1428,0.1624,False,False,0,False,NONE
P-16BFDCB7,2024-01-16 07:37:00,103695.27,CAD,GB,RTP,BATCH,0.241,1,NEXT_DAY,False,2024,1,16,1,7,False,11.54922142442896,False,HIGH,LOW,True,LOW,1,False,24990.56007,-0.09180258196448152,False,0.6762,False,-0.14714912099894098,False,0.441,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE
P-72DC8911,2024-06-05 12:45:00,828824.34,EUR,JP,WIRE,BATCH,0.26,0,SAME_DAY,False,2024,6,5,2,12,False,13.627764724344296,True,VERY_HIGH,LOW,False,NONE,0,True,215494.3284,2.998303936894275,False,0.9858,False,2.329284799496787,False,0.4862,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE
P-14E03EF1,2024-02-28 16:12:00,23731.38,GBP,CA,RTP,BATCH,0.203,3,NEXT_DAY,False,2024,2,28,2,16,False,10.074595639385857,False,MEDIUM,LOW,True,HIGH,1,False,4817.47014,-0.432565279234782,False,0.2258,False,-0.40938710517006904,False,0.3462,False,False,False,False,False,0.135,0.1622,False,False,0,False,NONE
P-1E81246E,2024-01-04 00:48:00,77840.7,CAD,AU,SWIFT,FILE,0.247,0,NEXT_DAY,False,2024,1,4,3,0,False,11.262432556292524,False,MEDIUM,LOW,False,NONE,1,False,19226.6529,-0.20198072624890534,False,0.5844,False,-0.22207643270256314,False,0.4567,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE
P-9FDC9F13,2024-02-16 22:14:00,304724.83,EUR,JP,ACH,ONLINE,0.467,1,NEXT_DAY,False,2024,2,16,4,22,False,12.627167733287658,False,HIGH,MEDIUM,True,LOW,1,False,142306.49561,0.7648762901696995,False,0.9148,False,1.3778871800294166,False,0.8582,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE
P-C1E2BD48,2024-04-15 18:16:00,122087.17,GBP,GB,RTP,API,0.361,2,T_PLUS_2,False,2024,4,15,0,18,False,11.712498767607984,False,HIGH,MEDIUM,True,LOW,2,False,44073.46837,-0.013426286715142871,False,0.7216,False,0.10091716047202501,False,0.6958,False,False,False,False,False,0.1428,0.1622,False,False,0,False,NONE
P-F6BE7ECA,2024-04-24 14:56:00,702881.29,CAD,CA,ACH,FILE,0.41,0,NEXT_DAY,False,2024,4,24,2,14,False,13.462944717228428,True,VERY_HIGH,MEDIUM,False,NONE,1,True,288181.3289,2.4616030157603945,False,0.979,False,3.2741719017061106,True,0.7799,False,False,True,False,False,0.135,0.1768,False,False,2,True,is_extreme_risk_adjusted_amount; is_large_file_payment
P-3361FFCC,2024-06-18 21:20:00,994872.87,GBP,IN,SWIFT,ONLINE,0.114,1,NEXT_DAY,False,2024,6,18,1,21,False,13.810371244286422,True,VERY_HIGH,LOW,True,LOW,1,True,113415.50718,3.7059126457823544,True,0.9892,False,1.0023217811299834,False,0.1412,False,False,False,False,False,0.1428,0.1622,False,False,1,True,is_extreme_amount
P-4A4F92C0,2024-02-17 16:25:00,217166.24,AUD,US,WIRE,BATCH,0.283,1,T_PLUS_2,False,2024,2,17,5,16,True,12.288423026936838,False,HIGH,LOW,True,LOW,2,False,61458.04591999999,0.3917491036660868,False,0.8558,False,0.3269061680161284,False,0.5394,False,False,False,False,False,0.1398,0.1594,False,False,0,False,NONE
P-8FE5D165,2024-01-15 22:36:00,74143.24,AUD,IN,WIRE,BATCH,0.221,1,NEXT_DAY,False,2024,1,15,0,22,False,11.213767664171188,False,MEDIUM,LOW,True,LOW,1,False,16385.65604,-0.21773729390274313,False,0.569,False,-0.2590076758679925,False,0.3928,False,False,False,False,False,0.1428,0.1594,False,False,0,False,NONE
P-51963776,2024-04-20 21:33:00,86985.8,JPY,DE,WIRE,FILE,0.065,0,SAME_DAY,False,2024,4,20,5,21,True,11.373511661987518,False,MEDIUM,LOW,False,NONE,0,False,5654.077,-0.16300927372443927,False,0.6224,False,-0.39851172131606283,False,0.0447,False,False,False,False,False,0.1448,0.1758,False,False,0,False,NONE
P-860907D5,2024-04-21 03:29:00,730418.31,JPY,GB,WIRE,BATCH,0.474,1,T_PLUS_2,False,2024,4,21,6,3,True,13.501374045481883,True,VERY_HIGH,MEDIUM,True,LOW,2,True,346218.27894,2.578950848763344,False,0.9806,False,4.028617196836466,True,0.8654,False,False,False,False,False,0.1428,0.1758,False,False,1,True,is_extreme_risk_adjusted_amount
P-9BBA8CDD,2024-01-04 14:05:00,8386.74,GBP,IN,ACH,ONLINE,0.359,0,T_PLUS_2,False,2024,1,4,3,14,False,9.034526394879506,False,LOW,MEDIUM,False,NONE,2,False,3010.83966,-0.4979558063219678,False,0.0514,False,-0.43287221017189453,False,0.6917,False,False,False,False,False,0.1428,0.1622,False,False,0,False,NONE
P-76DF2455,2024-01-01 13:37:00,59245.87,AUD,GB,SWIFT,API,0.379,1,NEXT_DAY,False,2024,1,1,0,13,False,10.989468230597764,False,MEDIUM,MEDIUM,True,LOW,1,False,22454.18473,-0.28122179901415856,False,0.4928,False,-0.18012046840139412,False,0.7285,False,False,False,False,False,0.1428,0.1594,False,False,0,False,NONE
P-0BB3F086,2024-04-10 08:16:00,108388.79,CAD,IN,ACH,BATCH,0.278,1,NEXT_DAY,False,2024,4,10,2,8,False,11.593489175359815,False,HIGH,LOW,True,LOW,1,False,30132.08362,-0.07180134722099796,False,0.6882,False,-0.0803124204241182,False,0.528,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE
P-1F29C488,2024-03-04 21:59:00,54939.68,AUD,AU,SWIFT,ONLINE,0.095,0,T_PLUS_2,False,2024,3,4,0,21,False,10.914009336711365,False,MEDIUM,LOW,False,NONE,2,False,5219.2696000000005,-0.29957244352830603,False,0.4686,False,-0.4041639548843633,False,0.0981,False,False,False,False,False,0.1456,0.1594,False,False,0,False,NONE
P-5AD5743B,2024-02-09 07:38:00,50340.8,CAD,GB,SWIFT,ONLINE,0.369,0,SAME_DAY,False,2024,2,9,4,7,False,10.826591024903443,False,MEDIUM,MEDIUM,False,NONE,0,False,18575.7552,-0.31917037395943487,False,0.4394,False,-0.23053770964833165,False,0.7129,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE
P-26DCE1B9,2024-03-07 06:50:00,116196.71,CAD,IN,WIRE,BATCH,0.248,0,NEXT_DAY,False,2024,3,7,3,6,False,11.663048415804722,False,HIGH,LOW,False,NONE,1,False,28816.78408,-0.03852823007686291,False,0.7086,False,-0.09741051997890524,False,0.4593,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE
P-61333909,2024-03-26 01:09:00,3613.7,EUR,JP,SWIFT,API,0.268,0,NEXT_DAY,False,2024,3,26,1,1,False,8.19276414359734,False,LOW,LOW,False,NONE,1,False,968.4716,-0.5182959121444713,False,0.012,False,-0.4594217613238681,False,0.5048,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE
P-F3974FE9,2024-06-12 03:25:00,429559.44,AUD,IN,WIRE,BATCH,0.095,1,NEXT_DAY,True,2024,6,12,2,3,False,12.970517732275567,False,HIGH,LOW,True,LOW,1,False,40808.1468,1.2968536416502994,False,0.9496,False,0.058469952376556854,False,0.0981,False,False,False,False,False,0.1428,0.1594,False,False,0,False,NONE
P-34BA0452,2024-04-20 07:59:00,74510.01,GBP,GB,ACH,ONLINE,0.029,0,T_PLUS_2,False,2024,4,20,5,7,True,11.218702178683388,False,MEDIUM,LOW,False,NONE,2,False,2160.79029,-0.21617431923407923,False,0.5706,False,-0.44392233853637647,False,0.0112,False,False,False,False,False,0.1428,0.1622,False,False,0,False,NONE
P-3E078815,2024-02-26 00:53:00,20939.03,JPY,CA,RTP,API,0.455,3,SAME_DAY,False,2024,2,26,0,0,False,9.949417917088258,False,MEDIUM,MEDIUM,True,HIGH,0,False,9527.25865,-0.4444647593341459,False,0.1994,False,-0.34816269933930893,False,0.8439,False,False,False,False,False,0.135,0.1758,False,False,0,False,NONE
P-9A7809D0,2024-01-17 10:58:00,576190.57,GBP,AU,WIRE,ONLINE,0.258,0,SAME_DAY,False,2024,1,17,2,10,False,13.264195471188852,True,VERY_HIGH,LOW,False,NONE,0,True,148657.16705999998,1.9217159308985095,False,0.9678,False,1.4604420729565768,False,0.4815,False,False,False,False,False,0.1456,0.1622,False,False,0,False,NONE
