payment_id,payment_date,amount,currency,country,payment_type,channel,counterparty_risk_score,historical_failure_count,settlement_window,is_failed,payment_year,payment_month,payment_day,day_of_week,hour_of_day,is_weekend,amount_log,is_high_value,amount_bucket,risk_band,has_prior_failures,prior_failure_band,settlement_speed_days,is_large_international,risk_adjusted_amount,amount_z_score,is_extreme_amount,amount_percentile_rank,is_top_1pct_amount,risk_adjusted_amount_z_score,is_extreme_risk_adjusted_amount,risk_score_percentile_rank,is_top_1pct_risk_score,is_high_risk_large_payment,is_large_file_payment,is_high_risk_swift_payment,is_prior_failure_high_value,country_frequency,currency_frequency,is_rare_country,is_rare_currency,rule_anomaly_score,is_rule_based_anomaly,anomaly_reasons,is_isolation_forest_anomaly,isolation_forest_anomaly_score,isolation_forest_anomaly_rank,anomaly_source,recommended_action,is_combined_anomaly
P-E38E359F,2024-05-09 20:32:00,108668.47,GBP,CA,WIRE,BATCH,0.332,0,SAME_DAY,False,2024,5,9,3,20,False,11.596066168893996,False,HIGH,MEDIUM,False,NONE,0,False,36077.93204,-0.0706095028625936,False,0.6892,False,-0.0030199823663711,False,0.639,False,False,False,False,False,0.135,0.1622,False,False,0,False,NONE,False,0.08248776957982668,2609.0,NORMAL,No anomaly review needed,False
P-69695E31,2024-03-04 02:36:00,36511.18,JPY,DE,WIRE,BATCH,0.111,1,SAME_DAY,False,2024,3,4,0,2,False,10.505401182535715,False,MEDIUM,LOW,True,LOW,0,False,4052.74098,-0.3781047081123043,False,0.3412,False,-0.4193281223395335,False,0.1333,False,False,False,False,False,0.1448,0.1758,False,False,0,False,NONE,False,0.11664647872969003,4883.0,NORMAL,No anomaly review needed,False
P-47289C89,2024-05-11 01:05:00,15045.1,EUR,JP,RTP,API,0.405,2,SAME_DAY,False,2024,5,11,5,1,True,9.618874100382808,False,MEDIUM,MEDIUM,True,LOW,0,False,6093.2655,-0.469581489952458,False,0.1314,False,-0.3928025360940277,False,0.7711,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE,False,0.07735489003307122,2195.0,NORMAL,No anomaly review needed,False
P-48293550,2024-05-03 12:40:00,23527.88,AUD,DE,WIRE,ONLINE,0.091,3,NEXT_DAY,False,2024,5,3,4,12,False,10.06598388177852,False,MEDIUM,LOW,True,HIGH,1,False,2141.03708,-0.4334324857813182,False,0.224,False,-0.4441791183350727,False,0.0895,False,False,False,False,False,0.1448,0.1594,False,False,0,False,NONE,False,0.06473760689393854,1406.0,NORMAL,No anomaly review needed,False
P-489B8768,2024-01-28 06:08:00,6608.42,CAD,AU,ACH,ONLINE,0.101,2,SAME_DAY,False,2024,1,28,6,6,True,8.796251183156203,False,LOW,LOW,True,LOW,0,False,667.45042,-0.5055340409452423,False,0.0354,False,-0.4633348548415161,False,0.1113,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE,False,0.05574959762943632,969.0,NORMAL,No anomaly review needed,False
P-C6226E92,2024-02-11 12:50:00,9800.77,AUD,CA,SWIFT,API,0.391,2,T_PLUS_2,False,2024,2,11,6,12,True,9.190318260595133,False,LOW,MEDIUM,True,LOW,2,False,3832.10107,-0.4919299779534239,False,0.07,False,-0.422196307898953,False,0.7471,False,False,False,False,False,0.135,0.1594,False,False,0,False,NONE,False,0.028606402939160724,331.0,NORMAL,No anomaly review needed,False
P-4710C9FD,2024-05-13 11:43:00,27607.87,USD,JP,WIRE,API,0.21,2,SAME_DAY,False,2024,5,13,0,11,False,10.22589237688637,False,MEDIUM,LOW,True,LOW,0,False,5797.6527,-0.4160457828928539,False,0.2632,False,-0.3966453239384372,False,0.362,False,False,False,False,False,0.1492,0.1624,False,False,0,False,NONE,False,0.11233366725208677,4762.0,NORMAL,No anomaly review needed,False
P-0B69842C,2024-06-13 00:50:00,190074.15,EUR,AU,SWIFT,BATCH,0.15,0,SAME_DAY,False,2024,6,13,3,0,False,12.155174799258498,False,HIGH,LOW,False,NONE,0,False,28511.1225,0.276297320828987,False,0.833,False,-0.101383935893666,False,0.2232,False,False,False,False,False,0.1456,0.1634,False,False,0,False,NONE,False,0.07921417463151159,2323.0,NORMAL,No anomaly review needed,False
P-768E3E8D,2024-04-10 16:55:00,42178.12,EUR,JP,ACH,ONLINE,0.02,0,SAME_DAY,False,2024,4,10,2,16,False,10.6496805908469,False,MEDIUM,LOW,False,NONE,0,False,843.5624,-0.3539552856708878,False,0.3812,False,-0.4610455054764044,False,0.0059,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE,False,0.08844716718528489,3078.0,NORMAL,No anomaly review needed,False
P-F127092A,2024-05-02 16:37:00,67698.36,EUR,JP,ACH,BATCH,0.203,0,T_PLUS_2,False,2024,5,2,3,16,False,11.122832005384485,False,MEDIUM,LOW,False,NONE,2,False,13742.76708,-0.2452018743825499,False,0.5364,False,-0.2933636359942521,False,0.3462,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE,False,0.0841329039754734,2748.0,NORMAL,No anomaly review needed,False
P-ADE4F9D1,2024-05-26 19:31:00,14729.19,CAD,JP,RTP,BATCH,0.173,1,NEXT_DAY,False,2024,5,26,6,19,True,9.59765440821938,False,MEDIUM,LOW,True,LOW,1,False,2548.14987,-0.4709277269063464,False,0.1284,False,-0.4388868979687164,False,0.2743,False,False,False,False,False,0.1492,0.1768,False,False,0,False,NONE,False,0.08607831038804575,2877.0,NORMAL,No anomaly review needed,False
P-951CA5B1,2024-02-06 22:08:00,100069.02,USD,GB,ACH,ONLINE,0.543,1,T_PLUS_2,False,2024,2,6,1,22,False,11.51362541994458,False,HIGH,MEDIUM,True,LOW,2,False,54337.477860000006,-0.1072556912488901,False,0.6642,False,0.2343430841907386,False,0.9225,False,False,False,False,False,0.1428,0.1624,False,False,0,False,NONE,False,0.07690852258344483,2160.0,NORMAL,No anomaly review needed,False
P-B0137477,2024-06-17 03:32:00,190569.59,GBP,JP,SWIFT,FILE,0.107,0,NEXT_DAY,False,2024,6,17,0,3,False,12.15777795609286,False,HIGH,LOW,False,NONE,1,False,20390.94613,0.2784086171995812,False,0.834,False,-0.2069413239671761,False,0.125,False,False,False,False,False,0.1492,0.1622,False,False,0,False,NONE,False,0.06877929743452038,1629.0,NORMAL,No anomaly review needed,False
P-6E338B76,2024-04-18 18:53:00,25406.96,JPY,US,WIRE,ONLINE,0.302,1,SAME_DAY,False,2024,4,18,3,18,False,10.142817789738318,False,MEDIUM,MEDIUM,True,LOW,0,False,7672.901919999999,-0.4254248667274344,False,0.2416,False,-0.3722682167635979,False,0.5795,False,False,False,False,False,0.1398,0.1758,False,False,0,False,NONE,False,0.10250553269841378,4236.0,NORMAL,No anomaly review needed,False
P-7427C3A3,2024-02-15 20:05:00,50560.29,CAD,IN,WIRE,API,0.184,0,T_PLUS_2,False,2024,2,15,3,20,False,10.830941542735763,False,MEDIUM,LOW,False,NONE,2,False,9303.09336,-0.3182350267117727,False,0.4408,False,-0.3510767127093339,False,0.3023,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE,False,0.07955207703915046,2347.0,NORMAL,No anomaly review needed,False
P-131F12C9,2024-02-23 02:39:00,57674.81,GBP,JP,ACH,FILE,0.149,0,SAME_DAY,False,2024,2,23,4,2,False,10.9625931271566,False,MEDIUM,LOW,False,NONE,0,False,8593.54669,-0.2879168040117077,False,0.4856,False,-0.3603003908400414,False,0.2214,False,False,False,False,False,0.1492,0.1622,False,False,0,False,NONE,False,0.09680738218709306,3800.0,NORMAL,No anomaly review needed,False
