payment_id,payment_date,amount,currency,country,payment_type,channel,counterparty_risk_score,historical_failure_count,settlement_window,status,failure_reason,is_failed
P-5AC88292,2024-05-09 20:32:00,108668.47,GBP,CA,WIRE,BATCH,0.332,0,SAME_DAY,PENDING,NONE,False
P-54A28120,2024-03-04 02:36:00,36511.18,JPY,DE,WIRE,BATCH,0.111,1,SAME_DAY,SETTLED,NONE,False
P-B5D046F0,2024-05-11 01:05:00,15045.1,EUR,JP,RTP,API,0.405,2,SAME_DAY,SETTLED,NONE,False
P-C01300E0,2024-05-03 12:40:00,23527.88,AUD,DE,WIRE,ONLINE,0.091,3,NEXT_DAY,PENDING,NONE,False
P-62BC431E,2024-01-28 06:08:00,6608.42,CAD,AU,ACH,ONLINE,0.101,2,SAME_DAY,SETTLED,NONE,False
P-3144A1B6,2024-02-11 12:50:00,9800.77,AUD,CA,SWIFT,API,0.391,2,T_PLUS_2,SETTLED,NONE,False
P-2D19F7FF,2024-05-13 11:43:00,27607.87,USD,JP,WIRE,API,0.21,2,SAME_DAY,SETTLED,NONE,False
P-7B6F5886,2024-06-13 00:50:00,190074.15,EUR,AU,SWIFT,BATCH,0.15,0,SAME_DAY,SETTLED,NONE,False
P-D01B0813,2024-04-10 16:55:00,42178.12,EUR,JP,ACH,ONLINE,0.02,0,SAME_DAY,SETTLED,NONE,False
P-F5958EA9,2024-05-02 16:37:00,67698.36,EUR,JP,ACH,BATCH,0.203,0,T_PLUS_2,SETTLED,NONE,False
P-A3CC97CE,2024-05-26 19:31:00,14729.19,CAD,JP,RTP,BATCH,0.173,1,NEXT_DAY,SETTLED,NONE,False
P-C34BA485,2024-02-06 22:08:00,100069.02,USD,GB,ACH,ONLINE,0.543,1,T_PLUS_2,SETTLED,NONE,False
P-4CBAEB74,2024-06-17 03:32:00,190569.59,GBP,JP,SWIFT,FILE,0.107,0,NEXT_DAY,SETTLED,NONE,False
P-91E34EE5,2024-04-18 18:53:00,25406.96,JPY,US,WIRE,ONLINE,0.302,1,SAME_DAY,SETTLED,NONE,False
P-ECF10D58,2024-02-15 20:05:00,50560.29,CAD,IN,WIRE,API,0.184,0,T_PLUS_2,SETTLED,NONE,False
P-98435893,2024-02-23 02:39:00,57674.81,GBP,JP,ACH,FILE,0.149,0,SAME_DAY,SETTLED,NONE,False
P-48CE3F9E,2024-03-05 07:45:00,15104.32,GBP,DE,SWIFT,API,0.647,3,NEXT_DAY,SETTLED,NONE,False
P-86136763,2024-04-10 00:07:00,19430.71,AUD,JP,SWIFT,ONLINE,0.621,3,NEXT_DAY,FAILED,COMPLIANCE_REVIEW,True
P-0CE99297,2024-04-01 22:25:00,25377.94,CAD,AU,ACH,ONLINE,0.246,1,NEXT_DAY,SETTLED,NONE,False
P-633F93A3,2024-03-09 21:28:00,161865.2,CAD,DE,RTP,FILE,0.121,2,NEXT_DAY,PENDING,NONE,False
P-47D04B62,2024-04-09 01:51:00,9669.73,GBP,CA,ACH,BATCH,0.15,1,SAME_DAY,PENDING,NONE,False
P-1DE246D9,2024-06-27 10:36:00,122992.17,EUR,DE,RTP,API,0.269,3,NEXT_DAY,SETTLED,NONE,False
P-B6A4315E,2024-06-10 18:40:00,234314.83,EUR,GB,ACH,ONLINE,0.304,0,SAME_DAY,SETTLED,NONE,False
P-1B158C31,2024-05-31 22:31:00,28360.73,JPY,DE,SWIFT,API,0.324,3,T_PLUS_2,SETTLED,NONE,False
P-572E9510,2024-01-28 13:30:00,46109.88,CAD,AU,SWIFT,ONLINE,0.493,1,T_PLUS_2,SETTLED,NONE,False
P-7591B107,2024-05-21 04:34:00,187020.14,JPY,GB,WIRE,ONLINE,0.246,1,SAME_DAY,PENDING,NONE,False
P-DE25E1A4,2024-04-18 00:21:00,41319.47,EUR,AU,ACH,FILE,0.36,2,NEXT_DAY,PENDING,NONE,False
P-26FE06DC,2024-05-05 19:27:00,32586.98,JPY,US,RTP,MOBILE,0.176,2,NEXT_DAY,SETTLED,NONE,False
P-7860520B,2024-05-28 15:53:00,130231.61,USD,GB,WIRE,MOBILE,0.383,0,SAME_DAY,SETTLED,NONE,False
P-BEFAE35A,2024-01-16 07:37:00,103695.27,CAD,GB,RTP,BATCH,0.241,1,NEXT_DAY,PENDING,NONE,False
P-4E14A394,2024-06-05 12:45:00,828824.34,EUR,JP,WIRE,BATCH,0.26,0,SAME_DAY,SETTLED,NONE,False
